#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
145,WWM_VV1_KA53B3461_DUMPTANKER,wwm_vv1_ka53b3461_dumptanker,06/12/2023,16:40:47,23840,12.9366/77.5212,Nayandanahalli,,104d 18h 52m,104d,18h,52m,13/10/2023
149,C2_KA04AA7688_DESILTING,c2_ka04aa7688_desilting,29/12/2023,09:03:25,5652,13.0013/77.6277,Seva Nagar,,92d 00h 03m,92d,00h,03m,25/10/2023
147,S12_KA04AA7683_DESILTING,s12_ka04aa7683_desilting,20/12/2023,16:00:16,20018,12.8972/77.6202,Hongasandra,,90d 19h 32m,90d,19h,32m,27/10/2023
154,N22_KA04D4102_JETTING,n22_ka04d4102_jetting,24/01/2024,10:58:09,52667,13.0728/77.5866,AlÄlsandra State Plantation,,89d 21h 03m,89d,21h,03m,28/10/2023
152,WWM_VV1_KA53B3460_JETTING,wwm_vv1_ka53b3460_jetting,17/01/2024,10:37:29,330,12.9355/77.5212,Nayandanahalli,,89d 19h 45m,89d,19h,45m,28/10/2023
150,SE5_KA04AA7687_DESILTING,se5_ka04aa7687_desilting,01/01/2024,16:48:21,21224,12.8748/77.5356,Vasantpura,,43d 17h 22m,43d,17h,22m,13/12/2023
135,SE5_KA04D5311_TANKER,se5_ka04d5311_tanker,16/08/2023,15:13:16,17410,12.9114/77.6467,HSR Club,,31d 23h 54m,31d,23h,54m,25/12/2023
4,WWMN_CV1_KA53B3464_JETTING,wwmn_cv1_ka53b3464_jetting,01/01/2014,05:30:20,14804,,,,28d 08h 16m,28d,08h,16m,28/12/2023
22,NW3_KA04A3043_JETTING,nw3_ka04a3043_jetting,01/01/2014,05:30:52,21623,,,,16d 22h 26m,16d,22h,26m,09/01/2024
61,N12_KA04AA1784_DESILTING,n12_ka04aa1784_desilting,01/01/2014,12:12:18,15696,13.0179/77.6056,KÄval Bhairsandra,,7d 22h 13m,7d,22h,13m,18/01/2024
14,SW4_KA04C5143_JETTING,sw4_ka04c5143_jetting,01/01/2014,05:30:32,41183,,,,6d 18h 38m,6d,18h,38m,19/01/2024
85,C1_KA04C5127_JETTING,c1_ka04c5127_jetting,01/01/2014,16:37:41,18341,12.9871/77.5901,Hotel Chalukya,,6d 00h 01m,6d,00h,01m,19/01/2024
43,WWW_V_VV1_KA53B3467_JETTING,www_v_vv1_ka53b3467_jetting,01/01/2014,05:48:00,49084,,,,4d 19h 26m,4d,19h,26m,21/01/2024
155,SW3_KA02AC5929_JETTING,sw3_ka02ac5929_jetting,24/01/2024,11:38:32,24272,12.9499/77.5553,kalidasa Layout,,4d 00h 35m,4d,00h,35m,21/01/2024
146,NE1_KA04N1245_JEEP,ne1_ka04n1245_jeep,12/12/2023,15:34:53,2372,13.0107/77.5678,Malleshwaram,,1d 21h 42m,1d,21h,42m,24/01/2024
158,NE1_KA04A6216_JETTING,ne1_ka04a6216_jetting,24/01/2024,15:43:25,1408744,13.0109/77.5673,Malleshwaram,,1d 14h 43m,1d,14h,43m,24/01/2024
92,S12_KA04C5145_JETTING,s12_ka04c5145_jetting,01/01/2014,17:10:42,27663,12.8991/77.6158,Vijaya Bank Colony,,1d 01h 31m,1d,01h,31m,24/01/2024
7,WWMN_CV1_KA04AA9020_DESILTING,wwmn_cv1_ka04aa9020_desilting,01/01/2014,05:30:20,14801,,,,1d 00h 15m,1d,00h,15m,24/01/2024
55,SE6_KA04AA9017_DESILTING,se6_ka04aa9017_desilting,01/01/2014,09:58:18,18594,12.9209/77.6057,Gurappanapalya,,0d 21h 29m,0d,21h,29m,25/01/2024
81,WWW_V_VV1_KA53B3465_JETTING,www_v_vv1_ka53b3465_jetting,01/01/2014,16:24:02,31739,12.9834/77.5206,Kamakshi Palya,,0d 21h 13m,0d,21h,13m,25/01/2024
70,NE2_KA04AA1782_DESILTING,ne2_ka04aa1782_desilting,01/01/2014,14:42:21,18918,13.0378/77.5653,Dollars Colony,,0d 19h 15m,0d,19h,15m,25/01/2024
54,S11_KA04C5151_JETTING,s11_ka04c5151_jetting,01/01/2014,09:51:57,20678,12.9473/77.5964,Lemon Tree Electronic City,,0d 19h 10m,0d,19h,10m,25/01/2024
46,S11_KA04C2198_JETTING,s11_ka04c2198_jetting,01/01/2014,06:14:35,26633,,,,0d 18h 39m,0d,18h,39m,25/01/2024
2,E11_KA04C5158_JETTING,e11_ka04c5158_jetting,01/01/2014,05:30:20,22358,,,,0d 18h 09m,0d,18h,09m,25/01/2024
80,E12_KA04D6650_JETTING,e12_ka04d6650_jetting,01/01/2014,16:05:32,20033,12.9660/77.6788,Keerthi Regency,,0d 17h 32m,0d,17h,32m,25/01/2024
6,E12_KA04D6648_JETTING,e12_ka04d6648_jetting,01/01/2014,05:30:20,14721,,,,0d 16h 42m,0d,16h,42m,25/01/2024
83,N12_KA04AA1780_DESILTING,n12_ka04aa1780_desilting,01/01/2014,16:33:55,15647,13.0411/77.5882,Hebbal,,0d 16h 42m,0d,16h,42m,25/01/2024
169,NW1_KA04D6656_JETTING,nw1_ka04d6656_jetting,24/01/2024,18:53:18,28876,13.0074/77.5508,Nagapura,,0d 02h 39m,0d,02h,39m,25/01/2024
40,NW4_KA04AC5936_TANKER,nw4_ka04ac5936_tanker,01/01/2014,05:35:20,19999,,,,0d 02h 37m,0d,02h,37m,25/01/2024
5,S12_KA05D8083_TANKER,s12_ka05d8083_tanker,01/01/2014,05:30:20,32840,,,,0d 02h 18m,0d,02h,18m,25/01/2024
76,SE2_KA04C5154_JETTING,se2_ka04c5154_jetting,01/01/2014,15:45:40,18526,12.9754/77.6231,Ulsoor,,0d 01h 38m,0d,01h,38m,25/01/2024
3,SW2_KA04AA7685_DESILTING,sw2_ka04aa7685_desilting,01/01/2014,05:30:20,7981,,,,0d 01h 20m,0d,01h,20m,25/01/2024
159,NW1_KA04D4278_JETTING,nw1_ka04d4278_jetting,24/01/2024,16:47:47,18021,13.0067/77.5412,GeleyaraBalaga,,0d 01h 10m,0d,01h,10m,25/01/2024
175,WWM_KC2_KA53B3472_JETTING,wwm_kc2_ka53b3472_jetting,24/01/2024,18:53:25,40721,12.9471/77.6233,Kormangla 8th Block,,0d 00h 52m,0d,00h,52m,25/01/2024
183,WWM_KA53B3474_DUMPING,wwm_ka53b3474_dumping,26/01/2024,23:58:45,11735,13.0429/77.6018,VishvanÄt NÄgenhalli,,0d 00h 46m,0d,00h,46m,25/01/2024
74,S11_KA05D6540_JETTING,s11_ka05d6540_jetting,01/01/2014,15:30:23,17568,12.9489/77.5962,Wilson Garden,,0d 00h 41m,0d,00h,41m,25/01/2024
73,E24_KA04D5127_TANKER,e24_ka04d5127_tanker,01/01/2014,15:29:44,24176,13.0112/77.6673,YerranapÄlya,,0d 00h 35m,0d,00h,35m,25/01/2024
157,SE1_KA04D4110_JETTING,se1_ka04d4110_jetting,24/01/2024,13:11:21,19889,12.9436/77.6287,Easy Stay,,0d 00h 15m,0d,00h,15m,25/01/2024
153,NW3_KA04C5133_JETTING,nw3_ka04c5133_jetting,19/01/2024,12:07:52,15720,12.9906/77.5471,Shivanahalli,,0d 00h 06m,0d,00h,06m,25/01/2024
57,S13_KA04C5149_JETTING,s13_ka04c5149_jetting,01/01/2014,10:52:26,21212,,,,0d 00h 04m,0d,00h,04m,25/01/2024
62,SE5_KA04D4155_JETTING,se5_ka04d4155_jetting,01/01/2014,12:19:48,27211,12.9222/77.6340,Koramangala Teachers Colony,,0d 00h 04m,0d,00h,04m,25/01/2024
